엑세스바이오,00956028,950130
한국ANKOR유전,00907013,152550
글로벌에스엠,00783246,900070
씨케이에이치,00800084,900120
베트남개발1,00626710,096300
이스트아시아홀딩스,00799070,900110
GRT,01170962,900290
한국패러랠,00960641,168490
윙입푸드,01328639,900340
맵스리얼티1,00600013,094800
로스웰,01139266,900260
골든센츄리,01168143,900280
에스제이엠,00815369,123700
오가닉티코스메틱,01169434,900300
에스제이엠홀딩스,00181943,025530
디에스케이,00530121,109740
LG생활건강,00356370,051900
효성,00117188,004800
엠케이전자,00121686,033160
한국가스공사,00261285,036460
E1,00165583,017940
동일제강,00118451,002690
삼목에스폼,00125646,018310
엔바이오니아,00964595,317870
아남전자,00138516,008700
하이제5호스팩,01414370,340120
유한양행,00145109,000100
황금에스티,00218575,032560
에스피지,00220686,058610
휴비츠,00398668,065510
케이엔더블유,00606664,105330
흥구석유,00167004,024060
에이치엘사이언스,01011438,239610
티플랙스,00497631,081150
제이티,00365457,089790
넥스턴,00416414,089140
모두투어리츠,01035289,204210
녹십자셀,00198378,031390
대한과학,00608316,131220
남광토건,00107066,001260
현대코퍼레이션홀딩스,01108099,227840
디지털대성,00398808,068930
사조동아원,00137252,008040
한솔로지스틱스,00140946,009180
경방,00101628,000050
전방,00147222,000950
파워로직스,00269612,047310
유에스티,01196313,263770
비피도,01109070,238200
대유에이피,01182578,290120
메타바이오메드,00317681,059210
JW생명과학,00225706,234080
피앤씨테크,00525864,237750
자이글,01020524,234920
엠아이텍,00531829,179290
대림제지,00109781,017650
미래에셋대우스팩3호,01390399,328380
해태제과식품,00428321,101530
씨엠에스에듀,00914040,225330
지투알,00140168,035000
뷰웍스,00609324,100120
링크제니시스,01109955,219420
타이거일렉,00617314,219130
쎄트렉아이,00449254,099320
컴퍼니케이,00598198,307930
동일산업,00172936,004890
디티앤씨,00675594,187220
퍼시스,00161709,016800
팬젠,00962922,222110
서희건설,00219848,035890
흥국,00167031,010240
삼익악기,00127857,002450
휴맥스홀딩스,00219440,028080
엘컴텍,00242712,037950
삼화네트웍스,00301112,046390
아이디스,00883980,143160
한신기계공업,00162072,011700
케이디켐,00370918,221980
율촌화학,00145260,008730
미래생명자원,01071944,218150
한국제8호스팩,01336443,310870
대양전기공업,00111193,108380
삼정펄프,00128227,009770
메가엠디,00807555,133750
패션플랫폼,01101041,225590
셀리드,01235296,299660
탑엔지니어링,00366845,065130
누리플랜,00410997,069140
인탑스,00226866,049070
오킨스전자,00543107,080580
미투온,00965813,201490
우리산업,01077577,215360
SK가스,00144164,018670
와이지엔터테인먼트,00613318,122870
일진파워,00485177,094820
캐리소프트,01267222,317530
아이스크림에듀,00983934,289010
한일사료,00162911,005860
뉴파워프라즈마,00521390,144960
포스코 ICT,00155212,022100
에스트래픽,01014055,234300
동성화인텍,00231105,033500
옵티팜,00971726,153710
바디텍메드,01046708,206640
이라이콤,00137289,041520
코오롱,00152862,002020
인성정보,00229021,033230
예스티,00530556,122640
서남,00867973,294630
싸이토젠,01046391,217330
웹스,00864338,196700
태웅로직스,00562245,124560
유티아이,00961774,179900
월덱스,00580065,101160
대한약품,00113128,023910
큐로,00108746,015590
JW홀딩스,00632304,096760
신테카바이오,01344336,226330
종근당,00992871,185750
씨유메디칼,00681249,115480
에이피티씨,00544577,089970
GS글로벌,00138190,001250
MP한강,01089378,219550
상상인이안제2호스팩,01390876,329560
샘표식품,01167056,248170
트루윈,00766106,105550
레이,00828761,228670
백광산업,00122472,001340
에이에프더블류,01223219,312610
IBKS제12호스팩,01405585,335870
EDGC,01182550,245620
동원개발,00117966,013120
펩트론,00415868,087010
샘표,00130091,007540
동우팜투테이블,00228712,088910
서원,00131197,021050
